hashtag,tweet,hashtags,Processed_Tweet,Dominant_Topic
dhoni,"WATCH: MS Dhoni gives Deepak Chahar a playful bat treatment after CSK’s win, video goes viral
#Dhoni 
#DeepakChahar 
kalingatv.com/sports/watch-m…",,"['watch', ':', 'ms', 'dhoni', 'gives', 'deepak', 'chahar', 'a', 'playful', 'bat', 'treatment', 'after', 'csk', '’', 's', 'win', ',', 'video', 'goes', 'viral', '#', 'dhoni', '#', 'deepakchahar', 'kalingatv.com/sports/watch-m…']",2
dhoni,"WTS IPL TICKETS 
✅3 vip tickets
 rcb vs Punjab 
dm me for more info unlimited buffet and drinks
MI #SRH #KKR #LSG #GT #PK #RR #RCB #MSD #AstroPrediction #TarotReading #MatchPredictions #T20 #IPL #tarotcard #CSKvsMI #RuturajGaikwad Vs #SuryakumarYadav #MSD #Chepauk #Dhoni",,"['wts', 'ipl', 'tickets', '✅3', 'vip', 'tickets', 'rcb', 'vs', 'punjab', 'dm', 'me', 'for', 'more', 'info', 'unlimited', 'buffet', 'and', 'drinks', 'mi', '#', 'srh', '#', 'kkr', '#', 'lsg', '#', 'gt', '#', 'pk', '#', 'rr', '#', 'rcb', '#', 'msd', '#', 'astroprediction', '#', 'tarotreading', '#', 'matchpredictions', '#', 't20', '#', 'ipl', '#', 'tarotcard', '#', 'cskvsmi', '#', 'ruturajgaikwad', 'vs', '#', 'suryakumaryadav', '#', 'msd', '#', 'chepauk', '#', 'dhoni']",1
dhoni,"The entry we all waited for with iconic song 

M S Dhoni Entry today 

🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥

#CSKvsMI | #CSKvMI | #Dhoni",,"['the', 'entry', 'we', 'all', 'waited', 'for', 'with', 'iconic', 'song', 'm', 's', 'dhoni', 'entry', 'today', '🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥', '#', 'cskvsmi', '|', '#', 'cskvmi', '|', '#', 'dhoni']",4
dhoni,"CSK vs RCB (March -28)
Venue: M.A. Chidambaram Stadium, Chennai.

8 tickets available !! 💯❤️💥
D upper-2
K Upper-2
J lower-2
C upper-2
Mobile:9789354948 
#IPL2025 #ipltickets2025 #ipltickets #CSKvsRCB #ChennaiSuperKings #Dhoni #ChepaukStadium #cskvsrcbtickets",,"['csk', 'vs', 'rcb', '(', 'march', '-28', ')', 'venue', ':', 'm.a', '.', 'chidambaram', 'stadium', ',', 'chennai', '.', '8', 'tickets', 'available', '!', '!', '💯❤️💥', 'd', 'upper-2', 'k', 'upper-2', 'j', 'lower-2', 'c', 'upper-2', 'mobile:9789354948', '#', 'ipl2025', '#', 'ipltickets2025', '#', 'ipltickets', '#', 'cskvsrcb', '#', 'chennaisuperkings', '#', 'dhoni', '#', 'chepaukstadium', '#', 'cskvsrcbtickets']",4
dhoni,"Shreyas iyer u beauty..selfless cricketer   @Lfgdoteco $LFG
#ShreyasIyer
#AshutoshSharma   #Dhoni #Pooran
#MSD $BOI @Boithebear #IPL2025 #IPL #ipl2025openingceremony #CSKvsMI #ipltickets #IPLUpdate #IPLonJioStar #IPLUpdate #IPL18
#dhonistumping #MSD #IPLUpdate #TATAIPL2025",,"['shreyas', 'iyer', 'u', 'beauty', '..', 'selfless', 'cricketer', '@', 'lfgdoteco', '$', 'lfg', '#', 'shreyasiyer', '#', 'ashutoshsharma', '#', 'dhoni', '#', 'pooran', '#', 'msd', '$', 'boi', '@', 'boithebear', '#', 'ipl2025', '#', 'ipl', '#', 'ipl2025openingceremony', '#', 'cskvsmi', '#', 'ipltickets', '#', 'iplupdate', '#', 'iplonjiostar', '#', 'iplupdate', '#', 'ipl18', '#', 'dhonistumping', '#', 'msd', '#', 'iplupdate', '#', 'tataipl2025']",1
dhoni,"I have 2 I lower stand tickets for csk vs RCB game...if anyone is interested can DM #csk #cskvsrcb #cskvrcb #chennai 
#ipl #ipl2025 #ipltickets #rcb
#csktickets #cskticket #chepauk
#chennaiipl #chennaisuperkings #dhoni",,"['i', 'have', '2', 'i', 'lower', 'stand', 'tickets', 'for', 'csk', 'vs', 'rcb', 'game', '...', 'if', 'anyone', 'is', 'interested', 'can', 'dm', '#', 'csk', '#', 'cskvsrcb', '#', 'cskvrcb', '#', 'chennai', '#', 'ipl', '#', 'ipl2025', '#', 'ipltickets', '#', 'rcb', '#', 'csktickets', '#', 'cskticket', '#', 'chepauk', '#', 'chennaiipl', '#', 'chennaisuperkings', '#', 'dhoni']",4
dhoni,"#Dhoni #CSK #IPL

Contributing to another “Go to kitchen” trend just because a female passed a stupid comments over an IPL match ??? Vandudrathu coffee cup ah thookitu women nu 😒😒😒

Seri Dhoni thavira edhuvum theriyala. Enna panlam ipo ??? Edachum crime list la sethrukangala?? 

Kutham soldra athana perum Sport analyst ah ??? Illa neenga matum than cricket paakanum nu aadhar card kooda extra oru card vechrukeengala ??? Inga iruka paathi aalungale SRH HRS ah than. But then Cricket is an entertainment and it is for EVERYONE. I guess no one is offering a degree to WATCH or ENJOY a sport or a movie.

Few come for the experience, the hype we created over internet for the MAN DHONI. Adicha Ticket scam ah adikanum. Black la vikuravana adikanum. Dm me for 2tickets ah adikanum. Pora vara audience and avangaloda ignorance ah abuse ku use panirkrathu ??

Yarachum oru kid romba analyse panni pesina wormfire kuzhandhai nu  adikrathu, theriyama ignorant ah pesita tharkuri nu soldrathu. 

Inimel irukra mattamana Csk site or district app la, “Eligibility to watch cricket test” veika soliralam. Vandudrathu idhu than neram nu kanda karumatha thookitu. Porakum bothe stats lam padichutu porandha maathri 😒😒😒

Sonalum sollala nalum, there are people who comes to the stadium only to visit DHONI. And they are harmless. They went home with happy memories.

Andha aalu pona aprom, all cricket lovers santhosama CSK ah va katitu vaazhunga. Scam panra franchise vechukitu, fans mela vanmatha koturathu lam naan evlo periya intellectual, cricket therinjavan nu kaatikrathuku. 

Avlo sirapa pesa theriyum na, pora vazhi ellam mic than vechrupanga vaangi pesunga.

Ellam therinja knowledgeable crowd venum na please vera planet la permission ketu irundhukonga. Because ungala maathri “NORMAL PEOPLE” Naanga illa 😤😤😤

Indha knowledgeable crowd, cricket lovers oda latchanam RCB vs CSK varum bothu theriyum 😒😒😒 evlo decent, evlo knowledgeable nu.",,"['#', 'dhoni', '#', 'csk', '#', 'ipl', 'contributing', 'to', 'another', '“', 'go', 'to', 'kitchen', '”', 'trend', 'just', 'because', 'a', 'female', 'passed', 'a', 'stupid', 'comments', 'over', 'an', 'ipl', 'match', '?', '?', '?', 'vandudrathu', 'coffee', 'cup', 'ah', 'thookitu', 'women', 'nu', '😒😒😒', 'seri', 'dhoni', 'thavira', 'edhuvum', 'theriyala', '.', 'enna', 'panlam', 'ipo', '?', '?', '?', 'edachum', 'crime', 'list', 'la', 'sethrukangala', '?', '?', 'kutham', 'soldra', 'athana', 'perum', 'sport', 'analyst', 'ah', '?', '?', '?', 'illa', 'neenga', 'matum', 'than', 'cricket', 'paakanum', 'nu', 'aadhar', 'card', 'kooda', 'extra', 'oru', 'card', 'vechrukeengala', '?', '?', '?', 'inga', 'iruka', 'paathi', 'aalungale', 'srh', 'hrs', 'ah', 'than', '.', 'but', 'then', 'cricket', 'is', 'an', 'entertainment', 'and', 'it', 'is', 'for', 'everyone', '.', 'i', 'guess', 'no', 'one', 'is', 'offering', 'a', 'degree', 'to', 'watch', 'or', 'enjoy', 'a', 'sport', 'or', 'a', 'movie', '.', 'few', 'come', 'for', 'the', 'experience', ',', 'the', 'hype', 'we', 'created', 'over', 'internet', 'for', 'the', 'man', 'dhoni', '.', 'adicha', 'ticket', 'scam', 'ah', 'adikanum', '.', 'black', 'la', 'vikuravana', 'adikanum', '.', 'dm', 'me', 'for', '2tickets', 'ah', 'adikanum', '.', 'pora', 'vara', 'audience', 'and', 'avangaloda', 'ignorance', 'ah', 'abuse', 'ku', 'use', 'panirkrathu', '?', '?', 'yarachum', 'oru', 'kid', 'romba', 'analyse', 'panni', 'pesina', 'wormfire', 'kuzhandhai', 'nu', 'adikrathu', ',', 'theriyama', 'ignorant', 'ah', 'pesita', 'tharkuri', 'nu', 'soldrathu', '.', 'inimel', 'irukra', 'mattamana', 'csk', 'site', 'or', 'district', 'app', 'la', ',', '“', 'eligibility', 'to', 'watch', 'cricket', 'test', '”', 'veika', 'soliralam', '.', 'vandudrathu', 'idhu', 'than', 'neram', 'nu', 'kanda', 'karumatha', 'thookitu', '.', 'porakum', 'bothe', 'stats', 'lam', 'padichutu', 'porandha', 'maathri', '😒😒😒', 'sonalum', 'sollala', 'nalum', ',', 'there', 'are', 'people', 'who', 'comes', 'to', 'the', 'stadium', 'only', 'to', 'visit', 'dhoni', '.', 'and', 'they', 'are', 'harmless', '.', 'they', 'went', 'home', 'with', 'happy', 'memories', '.', 'andha', 'aalu', 'pona', 'aprom', ',', 'all', 'cricket', 'lovers', 'santhosama', 'csk', 'ah', 'va', 'katitu', 'vaazhunga', '.', 'scam', 'panra', 'franchise', 'vechukitu', ',', 'fans', 'mela', 'vanmatha', 'koturathu', 'lam', 'naan', 'evlo', 'periya', 'intellectual', ',', 'cricket', 'therinjavan', 'nu', 'kaatikrathuku', '.', 'avlo', 'sirapa', 'pesa', 'theriyum', 'na', ',', 'pora', 'vazhi', 'ellam', 'mic', 'than', 'vechrupanga', 'vaangi', 'pesunga', '.', 'ellam', 'therinja', 'knowledgeable', 'crowd', 'venum', 'na', 'please', 'vera', 'planet', 'la', 'permission', 'ketu', 'irundhukonga', '.', 'because', 'ungala', 'maathri', '“', 'normal', 'people', '”', 'naanga', 'illa', '😤😤😤', 'indha', 'knowledgeable', 'crowd', ',', 'cricket', 'lovers', 'oda', 'latchanam', 'rcb', 'vs', 'csk', 'varum', 'bothu', 'theriyum', '😒😒😒', 'evlo', 'decent', ',', 'evlo', 'knowledgeable', 'nu', '.']",0
dhoni,"#CSKvsRCB  have 10 physical tickets UPPER STANDS 
PRICE : each 10.5k

Contact: 6382118205

#cskvsrcbtickets
#ChepaukStadium #chepauktickets #ChepaukTriplicane #Thala #ViratKohli #Dhoni #ThalaDhoni #CSKvRCB",,"['#', 'cskvsrcb', 'have', '10', 'physical', 'tickets', 'upper', 'stands', 'price', ':', 'each', '10.5k', 'contact', ':', '6382118205', '#', 'cskvsrcbtickets', '#', 'chepaukstadium', '#', 'chepauktickets', '#', 'chepauktriplicane', '#', 'thala', '#', 'viratkohli', '#', 'dhoni', '#', 'thaladhoni', '#', 'cskvrcb']",1
dhoni,"Happy Birthday To A Talented , Visionary Film Director and an Actor Prakash Raj❤️
@prakashraaj 

#prakashraj #actorprakashraj #anniyan #dhoni #ghilli #happybirthday #jayatv",,"['happy', 'birthday', 'to', 'a', 'talented', ',', 'visionary', 'film', 'director', 'and', 'an', 'actor', 'prakash', 'raj❤️', '@', 'prakashraaj', '#', 'prakashraj', '#', 'actorprakashraj', '#', 'anniyan', '#', 'dhoni', '#', 'ghilli', '#', 'happybirthday', '#', 'jayatv']",3
dhoni,"Pov: He still encourage youngsters to finish the match 🤌🏻💛

#Dhoni #CSKvsMI",,"['pov', ':', 'he', 'still', 'encourage', 'youngsters', 'to', 'finish', 'the', 'match', '🤌🏻💛', '#', 'dhoni', '#', 'cskvsmi']",1
